text,crowdflower_detail,annotator_vote,annotator_num,negative_crowdflower,negative_self_label,distortion_yn,quote,magnitude,distortion.category,Positive,Negative,userid
"But you always find way to keep me right here waiting. You always find the words to say to keep me right here waiting. And if you chose to walk away, I'd still be right here waiting, Searching for the things to say to keep you right here waiting...",no,2,3,no,yes,yes,y,3,mind-reading,1,-1,3ac58ad39d81acfe169aadc4815effe6
"But you promised her, next time you'd show restraint You don't get another chance, life's no Nintendo game But you lied again, now you get to watch her leave out of the window. -Eminem",no,1,3,yes,yes,no,y,2,,2,-3,db7f1b0130b2138e13b7bbca9cc63823
"But you promised her, next time you'd show restraint You don't get another chance, life's no Nintendo game But you lied again, now you get to watch her leave out of the window. -Eminem",yes,2,3,yes,yes,no,y,2,,2,-3,db7f1b0130b2138e13b7bbca9cc63823
"But you promised her, next time you'd show restraint You don't get another chance, life's no Nintendo game But you lied again, now you get to watch her leave out of the window. -Eminem",mixed,0,3,yes,yes,no,y,2,,2,-3,db7f1b0130b2138e13b7bbca9cc63823
"Butterflies don't know the color of their wings, but human eyes know how beautiful it is. Likewise you don't know how good are, but others can u special.",mixed,0,3,yes,No,no,,NA,,3,-1,98402a19f626c91d1795df7446906795
"Butterflies don't know the color of their wings, but human eyes know how beautiful it is. Likewise you don't know how good are, but others can u special.",yes,2,3,yes,No,no,,NA,,3,-1,98402a19f626c91d1795df7446906795
"Butterflies don't know the color of their wings, but human eyes know how beautiful it is. Likewise you don't know how good are, but others can u special.",no,1,3,yes,No,no,,NA,,3,-1,98402a19f626c91d1795df7446906795
camping at Woy Woy... no reception & sunscreen allergy my only worries... Took some great photos at the beach... Having an awesome time...,no,0,3,yes,No,no,,NA,,4,-4,d5380466e18422d7b2c2d54d57cbbde2
camping at Woy Woy... no reception & sunscreen allergy my only worries... Took some great photos at the beach... Having an awesome time...,mixed,0,3,yes,No,no,,NA,,4,-4,d5380466e18422d7b2c2d54d57cbbde2
camping at Woy Woy... no reception & sunscreen allergy my only worries... Took some great photos at the beach... Having an awesome time...,yes,3,3,yes,No,no,,NA,,4,-4,d5380466e18422d7b2c2d54d57cbbde2
"can not wait to go to Six Flags with Kevin this Saturday. Too bad family & Uncle will be with....but, it will be my birthday. :D",mixed,0,3,yes,No,no,,NA,,2,-2,98bcd7e7d81d569867b11f4c99f61d78
"can not wait to go to Six Flags with Kevin this Saturday. Too bad family & Uncle will be with....but, it will be my birthday. :D",yes,2,3,yes,No,no,,NA,,2,-2,98bcd7e7d81d569867b11f4c99f61d78
"can not wait to go to Six Flags with Kevin this Saturday. Too bad family & Uncle will be with....but, it will be my birthday. :D",no,1,3,yes,No,no,,NA,,2,-2,98bcd7e7d81d569867b11f4c99f61d78
Can nothing allay the fear and insecurity that are always tightening their grip on me? Answers to the question are equally as elusive as real solution to the inner problem.,no,0,3,yes,yes,no,,1,,1,-4,82e932005d8c94bb93bcb54fa19f421c
Can nothing allay the fear and insecurity that are always tightening their grip on me? Answers to the question are equally as elusive as real solution to the inner problem.,mixed,0,3,yes,yes,no,,1,,1,-4,82e932005d8c94bb93bcb54fa19f421c
Can nothing allay the fear and insecurity that are always tightening their grip on me? Answers to the question are equally as elusive as real solution to the inner problem.,yes,3,3,yes,yes,no,,1,,1,-4,82e932005d8c94bb93bcb54fa19f421c
CAN'T WAIT FOR MIDNIGHT NIGHT! FINALLY THE BIG RELATIONSHIP SECRET WILL BE EXPOSED! YAY! HATE SECRETS!,mixed,0,3,yes,No,no,,NA,,3,-5,a7a3af125074cb806a200f51ea7e10bf
CAN'T WAIT FOR MIDNIGHT NIGHT! FINALLY THE BIG RELATIONSHIP SECRET WILL BE EXPOSED! YAY! HATE SECRETS!,yes,2,3,yes,No,no,,NA,,3,-5,a7a3af125074cb806a200f51ea7e10bf
CAN'T WAIT FOR MIDNIGHT NIGHT! FINALLY THE BIG RELATIONSHIP SECRET WILL BE EXPOSED! YAY! HATE SECRETS!,no,1,3,yes,No,no,,NA,,3,-5,a7a3af125074cb806a200f51ea7e10bf
"can't wait to perform scenes for drama tomorrow! i'll be playing year old girl named laurie in /brighton beach memoirs/""! :)""",no,3,3,no,No,no,,NA,,3,-1,c3dcf614104a24210bfac607cd63a9f2
"can't wait to perform scenes for drama tomorrow! i'll be playing year old girl named laurie in /brighton beach memoirs/""! :)""",yes,0,3,no,No,no,,NA,,3,-1,c3dcf614104a24210bfac607cd63a9f2
"can't wait to perform scenes for drama tomorrow! i'll be playing year old girl named laurie in /brighton beach memoirs/""! :)""",mixed,0,3,no,No,no,,NA,,3,-1,c3dcf614104a24210bfac607cd63a9f2
"Can't...hold...on...much...looooongerrrrrrrr! Actually, think can make it another - days. It's just gonna be really tight trying to in-process, get my leave set up, and get ready for Christmas in the space of days.",no,0,3,yes,yes,no,,2,,3,-1,7fc29084716097cb81f5be35b7290392
"Can't...hold...on...much...looooongerrrrrrrr! Actually, think can make it another - days. It's just gonna be really tight trying to in-process, get my leave set up, and get ready for Christmas in the space of days.",yes,3,3,yes,yes,no,,2,,3,-1,7fc29084716097cb81f5be35b7290392
"Can't...hold...on...much...looooongerrrrrrrr! Actually, think can make it another - days. It's just gonna be really tight trying to in-process, get my leave set up, and get ready for Christmas in the space of days.",mixed,0,3,yes,yes,no,,2,,3,-1,7fc29084716097cb81f5be35b7290392
cannot turn her head to the right. Is wondering if she can ride her bike without looking too much to the right.,no,1,3,yes,yes,no,,1,,1,-1,1e84bfe1c9bbd549913aad1bc57c8878
cannot turn her head to the right. Is wondering if she can ride her bike without looking too much to the right.,mixed,0,3,yes,yes,no,,1,,1,-1,1e84bfe1c9bbd549913aad1bc57c8878
cannot turn her head to the right. Is wondering if she can ride her bike without looking too much to the right.,yes,2,3,yes,yes,no,,1,,1,-1,1e84bfe1c9bbd549913aad1bc57c8878
"cannot understand for which particular portion of wisdom are people supporting Fr. Mark Montebello. Any particular reasons, or just the generic /progressive/"" bandwagoning?""",yes,1,3,no,yes,no,,2,,3,-1,8a1c6e4eb35abbf1ae252628fca46cdb
"cannot understand for which particular portion of wisdom are people supporting Fr. Mark Montebello. Any particular reasons, or just the generic /progressive/"" bandwagoning?""",mixed,0,3,no,yes,no,,2,,3,-1,8a1c6e4eb35abbf1ae252628fca46cdb
"cannot understand for which particular portion of wisdom are people supporting Fr. Mark Montebello. Any particular reasons, or just the generic /progressive/"" bandwagoning?""",no,2,3,no,yes,no,,2,,3,-1,8a1c6e4eb35abbf1ae252628fca46cdb
"Cant wait for the Reeble Jar Halloween concert on saturday night. Nicole Andresen-Douglas , Kayla Troutman and Sabrina Clark better come with me!! Or else will have my insect army lay eggs in their ears. :)",no,0,3,yes,No,no,,NA,,3,-1,2af06a0d2c453ef4340280ae57348351
"Cant wait for the Reeble Jar Halloween concert on saturday night. Nicole Andresen-Douglas , Kayla Troutman and Sabrina Clark better come with me!! Or else will have my insect army lay eggs in their ears. :)",yes,3,3,yes,No,no,,NA,,3,-1,2af06a0d2c453ef4340280ae57348351
"Cant wait for the Reeble Jar Halloween concert on saturday night. Nicole Andresen-Douglas , Kayla Troutman and Sabrina Clark better come with me!! Or else will have my insect army lay eggs in their ears. :)",mixed,0,3,yes,No,no,,NA,,3,-1,2af06a0d2c453ef4340280ae57348351
"Cause was born to tell you love you and am torn to do what have to, to make you mine Stay with me tonight",mixed,1,3,no,No,no,,NA,,3,-1,4908adae6cf09defb838925defcc5e61
"Cause was born to tell you love you and am torn to do what have to, to make you mine Stay with me tonight",yes,0,3,no,No,no,,NA,,3,-1,4908adae6cf09defb838925defcc5e61
"Cause was born to tell you love you and am torn to do what have to, to make you mine Stay with me tonight",no,2,3,no,No,no,,NA,,3,-1,4908adae6cf09defb838925defcc5e61
"Change leads to Uncertainty, and Uncertainty opens Opportunity. These are very Serendipidist days - what will the next Synchronistic moment provide. Adaptable, Humble, and Persitant. Bwomp Bwomp Bwomp Bwomp",no,1,3,yes,No,no,,NA,,1,-1,d54fc1c6f03862c4b310f0a1e5105cef
"Change leads to Uncertainty, and Uncertainty opens Opportunity. These are very Serendipidist days - what will the next Synchronistic moment provide. Adaptable, Humble, and Persitant. Bwomp Bwomp Bwomp Bwomp",mixed,0,3,yes,No,no,,NA,,1,-1,d54fc1c6f03862c4b310f0a1e5105cef
"Change leads to Uncertainty, and Uncertainty opens Opportunity. These are very Serendipidist days - what will the next Synchronistic moment provide. Adaptable, Humble, and Persitant. Bwomp Bwomp Bwomp Bwomp",yes,2,3,yes,No,no,,NA,,1,-1,d54fc1c6f03862c4b310f0a1e5105cef
"Checkin'-out the museum from /Night in the Museum/"". Lookin'-forward to some living wax sculptures. :)""",mixed,0,3,yes,No,no,,NA,,1,-1,30723e9e5ecfe6d20e5e67d1163e3965
"Checkin'-out the museum from /Night in the Museum/"". Lookin'-forward to some living wax sculptures. :)""",yes,2,3,yes,No,no,,NA,,1,-1,30723e9e5ecfe6d20e5e67d1163e3965
"Checkin'-out the museum from /Night in the Museum/"". Lookin'-forward to some living wax sculptures. :)""",no,1,3,yes,No,no,,NA,,1,-1,30723e9e5ecfe6d20e5e67d1163e3965
Chemistry lecture and lab both cancelled because my professor is in the hopsital. Next class late this afternoon.,no,2,3,no,No,no,,NA,,1,-2,cea00424ced413c108d878b1a14f3316
Chemistry lecture and lab both cancelled because my professor is in the hopsital. Next class late this afternoon.,yes,1,3,no,No,no,,NA,,1,-2,cea00424ced413c108d878b1a14f3316
Chemistry lecture and lab both cancelled because my professor is in the hopsital. Next class late this afternoon.,mixed,0,3,no,No,no,,NA,,1,-2,cea00424ced413c108d878b1a14f3316
"Church, home, nothing else. Might go on walk. Putting off the other research until tomorrow and Tuesday.",no,2,3,no,No,no,,NA,,1,-1,cea00424ced413c108d878b1a14f3316
"Church, home, nothing else. Might go on walk. Putting off the other research until tomorrow and Tuesday.",mixed,0,3,no,No,no,,NA,,1,-1,cea00424ced413c108d878b1a14f3316
"Church, home, nothing else. Might go on walk. Putting off the other research until tomorrow and Tuesday.",yes,1,3,no,No,no,,NA,,1,-1,cea00424ced413c108d878b1a14f3316
"Civil Engineering Pop quiz: who here knows what rebar is? If you do, or if you looked it up, then tell the world the difference between Asphalt, Cement, and Concrete. Another fun term: Gabeon!",no,3,3,no,No,no,,NA,,3,-1,dc20f5b91f427d65c9fdbab6d45c8bc2
"Civil Engineering Pop quiz: who here knows what rebar is? If you do, or if you looked it up, then tell the world the difference between Asphalt, Cement, and Concrete. Another fun term: Gabeon!",yes,0,3,no,No,no,,NA,,3,-1,dc20f5b91f427d65c9fdbab6d45c8bc2
"Civil Engineering Pop quiz: who here knows what rebar is? If you do, or if you looked it up, then tell the world the difference between Asphalt, Cement, and Concrete. Another fun term: Gabeon!",mixed,0,3,no,No,no,,NA,,3,-1,dc20f5b91f427d65c9fdbab6d45c8bc2
Class dinner today! We graduate on Tuesday and then we have to change buildings and classmates. It's been great while it lasted guys!,no,0,3,yes,No,no,,NA,,4,-1,7fc29084716097cb81f5be35b7290392
Class dinner today! We graduate on Tuesday and then we have to change buildings and classmates. It's been great while it lasted guys!,yes,3,3,yes,No,no,,NA,,4,-1,7fc29084716097cb81f5be35b7290392
Class dinner today! We graduate on Tuesday and then we have to change buildings and classmates. It's been great while it lasted guys!,mixed,0,3,yes,No,no,,NA,,4,-1,7fc29084716097cb81f5be35b7290392
"Clench my teeth tight. My head is like sponge. Give to me free. wanna get ripped off, and drown in the airwaves!",yes,3,3,yes,yes,no,,2,,1,-3,57118d9a71e91b6568471ffbd7077415
"Clench my teeth tight. My head is like sponge. Give to me free. wanna get ripped off, and drown in the airwaves!",mixed,0,3,yes,yes,no,,2,,1,-3,57118d9a71e91b6568471ffbd7077415
"Clench my teeth tight. My head is like sponge. Give to me free. wanna get ripped off, and drown in the airwaves!",no,0,3,yes,yes,no,,2,,1,-3,57118d9a71e91b6568471ffbd7077415
"Code Geass is very good. wish Lelouch would just harden up and drink cup of concrete though. Taking Refrain, what an idiot.",no,2,3,no,No,no,,NA,,4,-4,968157017daec34ee86050fe9bd72293
"Code Geass is very good. wish Lelouch would just harden up and drink cup of concrete though. Taking Refrain, what an idiot.",yes,1,3,no,No,no,,NA,,4,-4,968157017daec34ee86050fe9bd72293
"Code Geass is very good. wish Lelouch would just harden up and drink cup of concrete though. Taking Refrain, what an idiot.",mixed,0,3,no,No,no,,NA,,4,-4,968157017daec34ee86050fe9bd72293
"Come to the conclusion I'm having relapse :( Taking on too much, getting too far ahead of myself. Time to get back to basics and one day at time. Send happy thoughts.",mixed,0,3,yes,yes,no,,3,,2,-3,29cda473b52e1c75fbfe958ed3aec565
"Come to the conclusion I'm having relapse :( Taking on too much, getting too far ahead of myself. Time to get back to basics and one day at time. Send happy thoughts.",yes,3,3,yes,yes,no,,3,,2,-3,29cda473b52e1c75fbfe958ed3aec565
"Come to the conclusion I'm having relapse :( Taking on too much, getting too far ahead of myself. Time to get back to basics and one day at time. Send happy thoughts.",no,0,3,yes,yes,no,,3,,2,-3,29cda473b52e1c75fbfe958ed3aec565
"Come... Come down to Earth, precious gift from the Skies. Pour down salvation on all of us. Cleanse the world from this corruption that breeds hate in our lives. Oh, Goddess, is this your LOVELESS?",mixed,0,3,yes,yes,no,,3,,3,-4,0724fe854bd455061ba84efecdeff469
"Come... Come down to Earth, precious gift from the Skies. Pour down salvation on all of us. Cleanse the world from this corruption that breeds hate in our lives. Oh, Goddess, is this your LOVELESS?",yes,2,3,yes,yes,no,,3,,3,-4,0724fe854bd455061ba84efecdeff469
"Come... Come down to Earth, precious gift from the Skies. Pour down salvation on all of us. Cleanse the world from this corruption that breeds hate in our lives. Oh, Goddess, is this your LOVELESS?",no,1,3,yes,yes,no,,3,,3,-4,0724fe854bd455061ba84efecdeff469
Contemplating the merits of going to bed...hard to choose between bed and you. like smiling like this.,mixed,0,3,no,No,no,,NA,,3,-1,276d9dae51d0748f843b3525458ef54e
Contemplating the merits of going to bed...hard to choose between bed and you. like smiling like this.,yes,1,3,no,No,no,,NA,,3,-1,276d9dae51d0748f843b3525458ef54e
Contemplating the merits of going to bed...hard to choose between bed and you. like smiling like this.,no,2,3,no,No,no,,NA,,3,-1,276d9dae51d0748f843b3525458ef54e
COPY THIS INTO YOUR STATUS AND SEE WHAT PEOPLE RATE YOU!!! ) Crazy. ) I'd Marry You. ) Talkative. ) Sarcastic. ) Miss You. )Dizzy. ) Moody. ) Dumb. ) Mouthy. ) Spoilt. ) Random. ) Hot. ) Funny. ) Fit. ) Amazing. )Tough. ) Cute. ) Gf//Bf Type. ) Player. ) Love You. ) The Best. ) Couldnt Live Without u.,mixed,0,3,no,No,no,,NA,,2,-1,b15cf300b5693210682e36cfe5f9789b
COPY THIS INTO YOUR STATUS AND SEE WHAT PEOPLE RATE YOU!!! ) Crazy. ) I'd Marry You. ) Talkative. ) Sarcastic. ) Miss You. )Dizzy. ) Moody. ) Dumb. ) Mouthy. ) Spoilt. ) Random. ) Hot. ) Funny. ) Fit. ) Amazing. )Tough. ) Cute. ) Gf//Bf Type. ) Player. ) Love You. ) The Best. ) Couldnt Live Without u.,no,3,3,no,No,no,,NA,,2,-1,b15cf300b5693210682e36cfe5f9789b
COPY THIS INTO YOUR STATUS AND SEE WHAT PEOPLE RATE YOU!!! ) Crazy. ) I'd Marry You. ) Talkative. ) Sarcastic. ) Miss You. )Dizzy. ) Moody. ) Dumb. ) Mouthy. ) Spoilt. ) Random. ) Hot. ) Funny. ) Fit. ) Amazing. )Tough. ) Cute. ) Gf//Bf Type. ) Player. ) Love You. ) The Best. ) Couldnt Live Without u.,yes,0,3,no,No,no,,NA,,2,-1,b15cf300b5693210682e36cfe5f9789b
"Crackin' day Gromit! Proud to know Bart and the guys from the mcc, the diner and the Goldwing owners club! Thanks for the ride and the drumkit! :) Over ?? raised today - you rock!",yes,0,3,no,No,no,,NA,,4,-1,41ef345410ba421410cb4d09c331aec3
"Crackin' day Gromit! Proud to know Bart and the guys from the mcc, the diner and the Goldwing owners club! Thanks for the ride and the drumkit! :) Over ?? raised today - you rock!",mixed,0,3,no,No,no,,NA,,4,-1,41ef345410ba421410cb4d09c331aec3
"Crackin' day Gromit! Proud to know Bart and the guys from the mcc, the diner and the Goldwing owners club! Thanks for the ride and the drumkit! :) Over ?? raised today - you rock!",no,3,3,no,No,no,,NA,,4,-1,41ef345410ba421410cb4d09c331aec3
Creepy people are creepy... Some guy sat right next to me while was waiting for the train... Like... Almost on my lap... And now he's followed me onto the carriage that got on trying to get away from him... Ick!,mixed,0,26,yes,yes,no,,4,,2,-1,d5380466e18422d7b2c2d54d57cbbde2
Creepy people are creepy... Some guy sat right next to me while was waiting for the train... Like... Almost on my lap... And now he's followed me onto the carriage that got on trying to get away from him... Ick!,yes,24,26,yes,yes,no,,4,,2,-1,d5380466e18422d7b2c2d54d57cbbde2
Creepy people are creepy... Some guy sat right next to me while was waiting for the train... Like... Almost on my lap... And now he's followed me onto the carriage that got on trying to get away from him... Ick!,no,2,26,yes,yes,no,,4,,2,-1,d5380466e18422d7b2c2d54d57cbbde2
Crossing the bridge of salty wind madness and trekking mountains of ice and slushy snow is not an easy task... can't wait for the weekend already....,yes,3,3,yes,yes,no,,2,,1,-2,009d96a823b6f6c085c092fb177491f6
Crossing the bridge of salty wind madness and trekking mountains of ice and slushy snow is not an easy task... can't wait for the weekend already....,no,0,3,yes,yes,no,,2,,1,-2,009d96a823b6f6c085c092fb177491f6
Crossing the bridge of salty wind madness and trekking mountains of ice and slushy snow is not an easy task... can't wait for the weekend already....,mixed,0,3,yes,yes,no,,2,,1,-2,009d96a823b6f6c085c092fb177491f6
"CSI: everyone that has antisocial PD//Brunner Syndrome (which were you going for?) is criminal mastermind. Let's cite those cool-sounding brain thingies, and then determine /everybody determines their own destiny! /"". Also",yes,3,3,yes,No,no,,NA,,3,-2,4764518d32334248e6ebbf681a18fd0c
"CSI: everyone that has antisocial PD//Brunner Syndrome (which were you going for?) is criminal mastermind. Let's cite those cool-sounding brain thingies, and then determine /everybody determines their own destiny! /"". Also",mixed,0,3,yes,No,no,,NA,,3,-2,4764518d32334248e6ebbf681a18fd0c
"CSI: everyone that has antisocial PD//Brunner Syndrome (which were you going for?) is criminal mastermind. Let's cite those cool-sounding brain thingies, and then determine /everybody determines their own destiny! /"". Also",no,0,3,yes,No,no,,NA,,3,-2,4764518d32334248e6ebbf681a18fd0c
Cuddling with my furry child ... The one with four legs :) while create my own little sims world to get away from the real world till about : pm then have to get ready to hit the office and do some actual work,mixed,0,3,yes,No,no,,NA,,3,-1,009d96a823b6f6c085c092fb177491f6
Cuddling with my furry child ... The one with four legs :) while create my own little sims world to get away from the real world till about : pm then have to get ready to hit the office and do some actual work,no,1,3,yes,No,no,,NA,,3,-1,009d96a823b6f6c085c092fb177491f6
Cuddling with my furry child ... The one with four legs :) while create my own little sims world to get away from the real world till about : pm then have to get ready to hit the office and do some actual work,yes,2,3,yes,No,no,,NA,,3,-1,009d96a823b6f6c085c092fb177491f6
DAAAAAAAAAAAAAAAAAAAAAAAAAAAAAYYYYYYYYYYYYYYYYYYYYYYZZZZZZZZZZZZ!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,mixed,2,3,mixed,No,no,,NA,,3,-1,d67916bbf6453cfebbd8689f7556e526
DAAAAAAAAAAAAAAAAAAAAAAAAAAAAAYYYYYYYYYYYYYYYYYYYYYYZZZZZZZZZZZZ!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,yes,0,3,mixed,No,no,,NA,,3,-1,d67916bbf6453cfebbd8689f7556e526
DAAAAAAAAAAAAAAAAAAAAAAAAAAAAAYYYYYYYYYYYYYYYYYYYYYYZZZZZZZZZZZZ!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,no,1,3,mixed,No,no,,NA,,3,-1,d67916bbf6453cfebbd8689f7556e526
"Dad approves of Kevin & being engaged. Thank God! {Not religious, just using the phrase!} That takes off lot of stress from my back. would of cried if he told us /NO./""""",no,2,3,no,No,no,,NA,,3,-4,98bcd7e7d81d569867b11f4c99f61d78
"Dad approves of Kevin & being engaged. Thank God! {Not religious, just using the phrase!} That takes off lot of stress from my back. would of cried if he told us /NO./""""",mixed,0,3,no,No,no,,NA,,3,-4,98bcd7e7d81d569867b11f4c99f61d78
"Dad approves of Kevin & being engaged. Thank God! {Not religious, just using the phrase!} That takes off lot of stress from my back. would of cried if he told us /NO./""""",yes,1,3,no,No,no,,NA,,3,-4,98bcd7e7d81d569867b11f4c99f61d78
"Dammit, Justine Pabillare. Making me look for that picture thing JUST for the date. Now all this memory crap is all over my once clean room. xD",yes,3,3,yes,yes,no,,2,,1,-3,2a9b90b41e9399bb331fef2582f657c3
"Dammit, Justine Pabillare. Making me look for that picture thing JUST for the date. Now all this memory crap is all over my once clean room. xD",mixed,0,3,yes,yes,no,,2,,1,-3,2a9b90b41e9399bb331fef2582f657c3
"Dammit, Justine Pabillare. Making me look for that picture thing JUST for the date. Now all this memory crap is all over my once clean room. xD",no,0,3,yes,yes,no,,2,,1,-3,2a9b90b41e9399bb331fef2582f657c3
"DANGER: Rags, steel wool or waste soaked with this product may spontaneously catch fire if improperly discarded. Contains oxidizing oil. PRECAUTIONS: Immediately after use place soiled material in sealed water filled metal container.",yes,2,3,yes,No,no,,NA,,1,-2,e076953cd3fcf8927b8f21574c0890f3
"DANGER: Rags, steel wool or waste soaked with this product may spontaneously catch fire if improperly discarded. Contains oxidizing oil. PRECAUTIONS: Immediately after use place soiled material in sealed water filled metal container.",no,1,3,yes,No,no,,NA,,1,-2,e076953cd3fcf8927b8f21574c0890f3
"DANGER: Rags, steel wool or waste soaked with this product may spontaneously catch fire if improperly discarded. Contains oxidizing oil. PRECAUTIONS: Immediately after use place soiled material in sealed water filled metal container.",mixed,0,3,yes,No,no,,NA,,1,-2,e076953cd3fcf8927b8f21574c0890f3
"Dear Amy Lee; Thanks for writing the soundtrack of my life, and doing it so much better than ever would. love you girl! <",yes,0,3,no,No,no,,NA,,4,-1,c3dcf614104a24210bfac607cd63a9f2
"Dear Amy Lee; Thanks for writing the soundtrack of my life, and doing it so much better than ever would. love you girl! <",mixed,0,3,no,No,no,,NA,,4,-1,c3dcf614104a24210bfac607cd63a9f2
"Dear Amy Lee; Thanks for writing the soundtrack of my life, and doing it so much better than ever would. love you girl! <",no,3,3,no,No,no,,NA,,4,-1,c3dcf614104a24210bfac607cd63a9f2
"Dear customer: If tell you can't do something, looking at me like I'm piece of white trash and arguing will not give me the ability nor the desire to break procedure.",mixed,0,3,yes,yes,no,,4,,2,-2,cea00424ced413c108d878b1a14f3316
"Dear customer: If tell you can't do something, looking at me like I'm piece of white trash and arguing will not give me the ability nor the desire to break procedure.",no,0,3,yes,yes,no,,4,,2,-2,cea00424ced413c108d878b1a14f3316
"Dear customer: If tell you can't do something, looking at me like I'm piece of white trash and arguing will not give me the ability nor the desire to break procedure.",yes,3,3,yes,yes,no,,4,,2,-2,cea00424ced413c108d878b1a14f3316
"Dear Gamestop, Kindly go jump off cliff and quit screwing me over. Sincerely, very pissed off customer.",no,0,3,yes,yes,no,,4,,1,-4,6262f9ea246e00408561aa9a73c49175
"Dear Gamestop, Kindly go jump off cliff and quit screwing me over. Sincerely, very pissed off customer.",mixed,0,3,yes,yes,no,,4,,1,-4,6262f9ea246e00408561aa9a73c49175
"Dear Gamestop, Kindly go jump off cliff and quit screwing me over. Sincerely, very pissed off customer.",yes,3,3,yes,yes,no,,4,,1,-4,6262f9ea246e00408561aa9a73c49175
"Dear men: If it's unisex bathroom, please put the seat down when you're finished. mean, you've already touched it once, right? What's second time going to hurt?",mixed,0,3,yes,yes,no,,2,,3,-3,0e3fdb89c7706b13891170ab2a9017c7
"Dear men: If it's unisex bathroom, please put the seat down when you're finished. mean, you've already touched it once, right? What's second time going to hurt?",no,0,3,yes,yes,no,,2,,3,-3,0e3fdb89c7706b13891170ab2a9017c7
"Dear men: If it's unisex bathroom, please put the seat down when you're finished. mean, you've already touched it once, right? What's second time going to hurt?",yes,3,3,yes,yes,no,,2,,3,-3,0e3fdb89c7706b13891170ab2a9017c7
"Dear mr spider, please stop building ur web across my path... Thats twice now since yesterday i have walked through it by mistake, i dont think i can cope if climb on me again. know i look like an idiot jumping up and down screaming, and yes the ppl on my street have seen me do it :(",no,1,3,yes,yes,no,,3,,3,-4,64463aa93c9145fa0724a9e89ea7be2a
"Dear mr spider, please stop building ur web across my path... Thats twice now since yesterday i have walked through it by mistake, i dont think i can cope if climb on me again. know i look like an idiot jumping up and down screaming, and yes the ppl on my street have seen me do it :(",yes,2,3,yes,yes,no,,3,,3,-4,64463aa93c9145fa0724a9e89ea7be2a
"Dear mr spider, please stop building ur web across my path... Thats twice now since yesterday i have walked through it by mistake, i dont think i can cope if climb on me again. know i look like an idiot jumping up and down screaming, and yes the ppl on my street have seen me do it :(",mixed,0,3,yes,yes,no,,3,,3,-4,64463aa93c9145fa0724a9e89ea7be2a
"Dear parental units, Thanks for teaching me what useless, selfish, idiotic piece of worthless shit that am. shall go forth and disown my useless self by throwing out my useless shit out the window and into the dumpster. Oh while I'm at it might as well tell the whole world what fucktard am. That'll save you several minutes of your precious time that you should never waste on useless me. Sincerely, ME",yes,3,3,yes,yes,yes,,5,mind-reading,3,-5,3d7847b1c33b5f5811208b4aa1a7ffbd
"Dear parental units, Thanks for teaching me what useless, selfish, idiotic piece of worthless shit that am. shall go forth and disown my useless self by throwing out my useless shit out the window and into the dumpster. Oh while I'm at it might as well tell the whole world what fucktard am. That'll save you several minutes of your precious time that you should never waste on useless me. Sincerely, ME",no,0,3,yes,yes,yes,,5,mind-reading,3,-5,3d7847b1c33b5f5811208b4aa1a7ffbd
"Dear parental units, Thanks for teaching me what useless, selfish, idiotic piece of worthless shit that am. shall go forth and disown my useless self by throwing out my useless shit out the window and into the dumpster. Oh while I'm at it might as well tell the whole world what fucktard am. That'll save you several minutes of your precious time that you should never waste on useless me. Sincerely, ME",mixed,0,3,yes,yes,yes,,5,mind-reading,3,-5,3d7847b1c33b5f5811208b4aa1a7ffbd
"dearest beloved sister of mine, Dayang Hidayah, happy nd love. may be blessed wif evrytng beautiful in lyf. ? akak! (:",yes,1,3,no,No,no,,NA,,3,-1,193165601dfad67e79ef52b2caf9fd9e
"dearest beloved sister of mine, Dayang Hidayah, happy nd love. may be blessed wif evrytng beautiful in lyf. ? akak! (:",no,2,3,no,No,no,,NA,,3,-1,193165601dfad67e79ef52b2caf9fd9e
"dearest beloved sister of mine, Dayang Hidayah, happy nd love. may be blessed wif evrytng beautiful in lyf. ? akak! (:",mixed,0,3,no,No,no,,NA,,3,-1,193165601dfad67e79ef52b2caf9fd9e
decided to remove craft bombing from cafe junior due to their unappreciativeness and relocate it to nice fence instead,mixed,0,3,yes,No,no,,NA,,3,-2,2549774d68d7ccbcba069afb45c7e237
decided to remove craft bombing from cafe junior due to their unappreciativeness and relocate it to nice fence instead,yes,3,3,yes,No,no,,NA,,3,-2,2549774d68d7ccbcba069afb45c7e237
decided to remove craft bombing from cafe junior due to their unappreciativeness and relocate it to nice fence instead,no,0,3,yes,No,no,,NA,,3,-2,2549774d68d7ccbcba069afb45c7e237
